id,Secteur,Poste,Entreprise,Ville,Date_de_publication,Lien,Experience,Contrat,Niveau_etude
53626,Full Stack Developer,Full Stack Developer Intern,FinCorp,New York,2025-11-27,https://linkedin.com/jobs/view/53626,5 ans,Alternance,Doctorat
36122,Business Intelligence,Business Intelligence Junior,CyberGuard,Berlin,2023-12-24,https://linkedin.com/jobs/view/36122,2 ans,CDD,Bac +3
10881,Data Scientist,Data Scientist Junior,CyberGuard,Casablanca,2025-01-13,https://linkedin.com/jobs/view/10881,1 ans,Stage,Doctorat
20783,Full Stack Developer,Full Stack Developer Senior,CloudWorks,San Francisco,2025-09-28,https://linkedin.com/jobs/view/20783,4 ans,Alternance,Bac +5
13061,Accounting,Accounting Senior,SoftWare Solutions,Marrakesh,2024-05-15,https://linkedin.com/jobs/view/13061,6 ans,CDD,Bac +3
96028,Financial Analyst,Financial Analyst Intern,InvestPlus,Toronto,2025-09-11,https://linkedin.com/jobs/view/96028,6 ans,Alternance,Bac +5
38422,Cybersecurity,Cybersecurity Junior,CloudVision,Casablanca,2024-06-08,https://linkedin.com/jobs/view/38422,4 ans,CDD,Bac +3
49948,Investment,Investment Senior,FinCorp,London,2025-07-05,https://linkedin.com/jobs/view/49948,6 ans,Freelance,Bac +3
63569,Full Stack Developer,Full Stack Developer Junior,DataCorp,Toronto,2024-08-10,https://linkedin.com/jobs/view/63569,3 ans,CDI,Bac +3
85663,Finance,Finance Junior,DataBrains,Casablanca,2023-04-05,https://linkedin.com/jobs/view/85663,2 ans,CDD,Doctorat
21230,Accounting,Accounting Intern,FinCorp,Amsterdam,2025-04-06,https://linkedin.com/jobs/view/21230,3 ans,CDI,Doctorat
50669,Investment,Investment Senior,FinanceX,Casablanca,2024-04-24,https://linkedin.com/jobs/view/50669,3 ans,Alternance,Master
47437,Data Scientist,Data Scientist Senior,CloudWorks,Lyon,2023-02-25,https://linkedin.com/jobs/view/47437,5 ans,CDI,Bac +5
74545,Machine Learning Engineer,Machine Learning Engineer Intern,CyberGuard,Paris,2024-04-22,https://linkedin.com/jobs/view/74545,3 ans,Stage,Bac +5
82852,Machine Learning Engineer,Machine Learning Engineer Lead,DataBrains,Marrakesh,2023-06-20,https://linkedin.com/jobs/view/82852,6 ans,Freelance,Doctorat
84721,Cybersecurity,Cybersecurity Senior,CyberGuard,Lyon,2023-11-09,https://linkedin.com/jobs/view/84721,3 ans,Stage,Master
28516,Python Developer,Python Developer Lead,CyberGuard,San Francisco,2023-11-06,https://linkedin.com/jobs/view/28516,2 ans,Alternance,Master
51632,Python Developer,Python Developer Lead,FinCorp,Toronto,2024-03-14,https://linkedin.com/jobs/view/51632,7 ans,Freelance,Bac +5
58369,Finance,Finance Lead,TechCorp,Marrakesh,2023-03-23,https://linkedin.com/jobs/view/58369,2 ans,CDI,Bac +5
19621,Risk Management,Risk Management Senior,FinCorp,Marrakesh,2025-12-14,https://linkedin.com/jobs/view/19621,6 ans,Alternance,Bac +2
46228,DevOps,DevOps Junior,CloudWorks,Berlin,2023-02-19,https://linkedin.com/jobs/view/46228,1 ans,CDD,Master
50844,Investment,Investment Intern,AI Technologies,Toronto,2024-02-10,https://linkedin.com/jobs/view/50844,7 ans,CDD,Doctorat
55000,Accounting,Accounting Junior,DataCorp,Lyon,2025-07-12,https://linkedin.com/jobs/view/55000,2 ans,CDD,Master
47827,Finance,Finance Intern,FinanceX,Marrakesh,2025-03-07,https://linkedin.com/jobs/view/47827,1 ans,Freelance,Doctorat
78291,IT Manager,IT Manager Lead,AI Technologies,Berlin,2023-10-02,https://linkedin.com/jobs/view/78291,3 ans,CDI,Doctorat
52964,Investment,Investment Lead,FinanceX,Paris,2023-05-11,https://linkedin.com/jobs/view/52964,1 ans,Freelance,Master
21426,Business Intelligence,Business Intelligence Senior,CyberGuard,Paris,2024-03-21,https://linkedin.com/jobs/view/21426,1 ans,CDI,Doctorat
53863,Accounting,Accounting Intern,DeepMind,Amsterdam,2023-12-07,https://linkedin.com/jobs/view/53863,3 ans,CDI,Doctorat
48834,Data Scientist,Data Scientist Senior,DataCorp,Amsterdam,2023-07-02,https://linkedin.com/jobs/view/48834,3 ans,Alternance,Master
44448,Business Intelligence,Business Intelligence Intern,RiskNet,Paris,2023-08-16,https://linkedin.com/jobs/view/44448,2 ans,CDD,Bac +3
84337,Accounting,Accounting Lead,FinanceX,London,2023-12-14,https://linkedin.com/jobs/view/84337,6 ans,Alternance,Master
10167,Financial Analyst,Financial Analyst Junior,CloudWorks,London,2023-06-21,https://linkedin.com/jobs/view/10167,5 ans,Freelance,Master
99842,Accounting,Accounting Intern,PythonTech,Amsterdam,2024-09-22,https://linkedin.com/jobs/view/99842,3 ans,CDI,Doctorat
